model-cv-1,44,0.33,0.0738,0.35,0.0724
model-cv-1,45,0.36,0.0687,0.35,0.0723
model-cv-1,46,0.35,0.0721,0.36,0.072
model-cv-1,47,0.37,0.0703,0.35,0.072
model-cv-1,48,0.4,0.0686,0.36,0.0719
model-cv-1,49,0.3,0.0723,0.36,0.0715
model-cv-2,0,0.1,0.0861,0.18,0.0863
model-cv-2,1,0.21,0.0842,0.2,0.0834
model-cv-2,2,0.26,0.0807,0.23,0.0815
model-cv-2,3,0.23,0.0803,0.25,0.0805
model-cv-2,4,0.2,0.0807,0.26,0.0799
model-cv-2,5,0.26,0.0789,0.27,0.0786
model-cv-2,6,0.27,0.0768,0.28,0.078
model-cv-2,7,0.3,0.0784,0.29,0.0776
model-cv-2,8,0.31,0.0754,0.29,0.0771
model-cv-2,9,0.27,0.0759,0.3,0.0767
model-cv-2,10,0.26,0.0763,0.3,0.0765
model-cv-2,11,0.27,0.0767,0.3,0.0762
model-cv-2,12,0.29,0.0757,0.3,0.076
model-cv-2,13,0.28,0.0766,0.3,0.0759
model-cv-2,14,0.29,0.0748,0.31,0.0756
model-cv-2,15,0.33,0.0733,0.31,0.0756
model-cv-2,16,0.35,0.073,0.31,0.0754
model-cv-2,17,0.29,0.0762,0.31,0.0752
model-cv-2,18,0.31,0.0746,0.32,0.0751
model-cv-2,19,0.35,0.074,0.32,0.0749
model-cv-2,20,0.27,0.0746,0.32,0.0746
model-cv-2,21,0.28,0.0726,0.33,0.0742
model-cv-2,22,0.33,0.0734,0.33,0.074
model-cv-2,23,0.28,0.0736,0.33,0.0739
model-cv-2,24,0.35,0.0717,0.33,0.0737
model-cv-2,25,0.31,0.0741,0.33,0.0736
model-cv-2,26,0.39,0.0711,0.34,0.0734
model-cv-2,27,0.36,0.0734,0.34,0.0733
model-cv-2,28,0.34,0.0738,0.33,0.0733
model-cv-2,29,0.32,0.0742,0.34,0.0731
model-cv-2,30,0.37,0.0709,0.34,0.0732
model-cv-2,31,0.27,0.0734,0.35,0.073
model-cv-2,32,0.31,0.0715,0.34,0.0728
model-cv-2,33,0.33,0.0705,0.34,0.0725
model-cv-2,34,0.31,0.071,0.35,0.0724
model-cv-2,35,0.35,0.0722,0.35,0.072
model-cv-2,36,0.34,0.0695,0.36,0.0718
model-cv-2,37,0.4,0.0705,0.36,0.0718
model-cv-2,38,0.36,0.0712,0.36,0.0715
model-cv-2,39,0.37,0.0698,0.37,0.0711
model-cv-2,40,0.37,0.0696,0.37,0.0714
model-cv-2,41,0.29,0.0715,0.36,0.0712
model-cv-2,42,0.38,0.0703,0.37,0.0709
model-cv-2,43,0.35,0.0713,0.37,0.0707
model-cv-2,44,0.37,0.0708,0.38,0.0707
model-cv-2,45,0.43,0.0709,0.37,0.0705
model-cv-2,46,0.47,0.0683,0.38,0.0705
model-cv-2,47,0.34,0.0705,0.37,0.0705
model-cv-2,48,0.35,0.0714,0.38,0.0703
model-cv-2,49,0.34,0.0707,0.37,0.0702
model-cv-3,0,0.14,0.0832,0.19,0.0832
model-cv-3,1,0.16,0.0817,0.21,0.0823
model-cv-3,2,0.23,0.0815,0.22,0.0818
model-cv-3,3,0.22,0.0801,0.24,0.081
model-cv-3,4,0.21,0.0798,0.24,0.0803
model-cv-3,5,0.24,0.0794,0.26,0.0789
model-cv-3,6,0.18,0.0795,0.28,0.0778
model-cv-3,7,0.25,0.0785,0.28,0.0774
model-cv-3,8,0.27,0.077,0.3,0.0765
model-cv-3,9,0.22,0.0776,0.3,0.0758
model-cv-3,10,0.31,0.0734,0.31,0.0753
model-cv-3,11,0.33,0.0734,0.32,0.075
model-cv-3,12,0.29,0.0748,0.31,0.0748
model-cv-3,13,0.28,0.0746,0.32,0.0746
model-cv-3,14,0.28,0.074,0.32,0.0744
model-cv-3,15,0.27,0.0753,0.33,0.074
model-cv-3,16,0.3,0.0723,0.33,0.074
model-cv-3,17,0.24,0.0776,0.33,0.0737
model-cv-3,18,0.34,0.0734,0.34,0.0735
model-cv-3,19,0.29,0.0732,0.33,0.0736
model-cv-3,20,0.35,0.0728,0.34,0.0735
model-cv-3,21,0.29,0.0731,0.34,0.0732
model-cv-3,22,0.36,0.0727,0.34,0.0729
model-cv-3,23,0.29,0.0742,0.34,0.0728
model-cv-3,24,0.29,0.0729,0.34,0.0726
model-cv-3,25,0.43,0.0722,0.35,0.0723
model-cv-3,26,0.39,0.0698,0.35,0.0722
model-cv-3,27,0.32,0.0736,0.35,0.072
model-cv-3,28,0.38,0.0713,0.36,0.0717
model-cv-3,29,0.36,0.0701,0.36,0.0714
model-cv-3,30,0.27,0.0708,0.36,0.0714
model-cv-3,31,0.42,0.0687,0.37,0.071
model-cv-3,32,0.32,0.0735,0.37,0.0709
model-cv-3,33,0.28,0.0729,0.37,0.0709
